ID,Totlen
FBR.61,1.561
MBR.62,1.574
FBR.62,1.747
MBR.63,1.793
MBR.65,1.571
FBR.65,1.725
MBR.66,1.521
FBR.66,1.527
MBR.68,1.87
FBR.68,2.077
FBR.70,1.689
MBR.69,1.863
MSH.43,2.082
FSH.43,2.216
MSH.44,1
MSH.45,1.837
FSH.45,1.98
MSH.47,2.108
FSH.47,2.16
MSH.48,1.793
FSH.48,1.991
MSH.49,1.793
FSH.49,1.914
MSH.50,1.754
FSH.50,1.756
MSH.51,1.608
FSH.51,1.76
MSH.52,1.907
FSH.52,1.905
MSH.53,1.718
FSH.53,1.659
MSH.54,1.96
FSH.54,2.152
FSH.37,2.234
MSH.38,2.112
FSH.38,2.031
MSH.40,2.042
FSH.40,2.183
MSH.41,2.032
FSH.41,2.16
MSH.42,2.184
FSH.42,2.252
MSH.31,2.039
FSH.31,2.134
MSH.32,1.891
FSH.32,1.955
MSH.33,2.169
FSH.33,2.377
MSH.34,2.206
FSH.34,2.178
MSH.35,1.944
FSH.35,2.008
MSH.36,2.002
